ID,Title,Price,Address,Num_of_Bedrooms,Num_of_Bathrooms,Floor_Area,Description,List_of_Amenities,Image URLs,Property URL
1,1BEDROOM CONDO UNIT FOR SALE AT GOLD RESIDENCES ACROSS TERMINAL1 NAIA,6973985,"Ninoy Aquino Avenue, Brgy. Sto. Niño, Parañaque City
                                        Santo Niño, Parañaque",1,1,25,"GOLD RESIDENCES!!! Across NAIA Terminal 1, Paranaque City  An 11.6 hectare master-planned community right across the Ninoy Aquino International Airport, the concept for SMDC’s first township is to be the gold standard a convergence of modernization, dynamism, innovation and prestige, assured in all its areas.  PROMO ! PROMO!  · 15% Promo Discount! Upto PHP1M+ · For as low as PHP 23,000 per month for 42 mos · Preselling · Lifetime Ownership · Reservation Fee of only PHP50,000.00  ACCESSIBILITY:  · 300 meters from terminal 1 · MOA 3.8km via NAIAX · 2.3km to the entertainment cities  GREAT INVESTMENT  · High Rental Income - AIR BNB · Exemplify the gold standard in modern living · Prime Location · Resort-Inspired Amenities · Lifetime Ownership · Only a walking distance away from NAIA! · Beside S&R Membership shopping and also across from Duty Free Philippines  HLURB LS 035186 (Phase 1) DHSUD PLS 082 (Phase 2)  HURRY UP ! and learn more about our projects and ongoing discounts! Reach out to us for additional information, online presentation and investment details!","CCTV, Utility room, Air conditioning, Alarm System, Function Room, Gym, Lounge, Reception Area, Shower rooms, Smoke detector, Wi-Fi, Fire Alarm, 24-hour security, Gazebos, Shops, Garden, Gazebo, Jogging path, Landscaped Garden, Open car spaces, Parking lot, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/c066c71626f293.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cc02f827e9393d.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/d8c0c4ce71d528.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/a1f201d55e4f7e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/733fed0d371094.jpg",https://www.lamudi.com.ph/projects/gold-residences/1bedroom-condo-unit-for-sale-at-gold-residences-ac-171766481188/
2,"1 Bedroom w/ balcony For Sale Le Pont Tower 2, Bridgetowne Pasig City",14829797,"Bridgetowne East, Eulogio Amang Rodriguez Ave., Brgy Rosario, Pasig City
                                        Rosario, Pasig",1,1,45,"LE PONT RESIDENCES TOWER 2 Completion Date: Sept 30, 2031  Location: Bridgetowne East, Eulogio Amang Rodriguez Ave., Brgy Rosario, Pasig City  Bridgetowne: AN ADDRESS FOR VICTORS AND CHAMPIONS  THE NEXT BGC, it is a 31-hectare first ever township connecting the progressive cities of Pasig and Quezon City.  HIGHLIGHT BUILDING FEATURES: ✅ Car Wash Station ✅ E-Vehicle charging station ✅ Smart Home ✅ Multi Level amenities with clubhouse ✅ Key card access for common areas ✅ Wide range of first-class amenities ✅ Premium finishes and deliverables ✅ Pet-friendly  1 BEDROOM WITH LOGGIA UNIT: 45sqm – 63 sqm Price range – 15.2M – 21M Monthly starts at 32K  Flexible Payment Terms: · 50K Reservation Fee (1BR) · Payment scheme discount · Special Discount · 15% Monthly Amortization in 72 months · 5% Spread over six (6) annual payments · 80% retention  AVAILABLE UNITS OFFERING: 1 Bedroom with loggia - 45 sqm – 63 sqm 2 Bedroom with loggias – 82.50 sqm – 115 sqm 3 Bedroom with loggias - 151 sqm 4 Bedroom with loggias – 220 sqm Penthouse -269.50 sqm – 390 sqm  NEARBY DESTINATIONS: OFFICE BUILDINGS: · Robinsons Zeta Tower · Robinsons Tera Tower · Campus One  LEISURE & ENTERTAINMENT: · OPUS Mall · The Blue Leaf Cosmopolitan  ICONIC LANDMARKS: · The Victor Sculpture  BUSINESS DISTRICT: · Ortigas CBD · Bonifacio Global City · Makati City  RESIDENTIAL AREAS: · Valle Verde · Green Meadows Subd. · White Plains · Corinthian Gardens  SOCIAL INSTITUTIONS: · The Medical City · St. Paul University Pasig · University of Asia & The Pacific  AMENITIES · Kiddie Pool · Pet Park · Jogging path · Private Theater · Infinity Pool · Fitness Gym · Indoor Cycling Room · Function Room · Yoga Room · Grilling Station · Sky Lounge · Landscaped Areas · Game Room · Pool Deck  FOR MORE INQUIRIES: MARINELLE PASCUAL Senior Property Specialist","CCTV, Air conditioning, Alarm System, Billiards table, Built-in wardrobes, Central air conditioning, Club House, Elevators, Entertainment room, Fire exits, Fitness center, Function Room, Game Room, Intercom, Lobby, Lounge, Multi-Purpose Hall, Reception Area, Sky lounge, Smoke detector, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, Open space, 24-hour security, Balcony, Clubhouse, Deck, Jogging path, Landscaped Garden, Playground, Secure parking, Shower rooms, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/b214aaa38dff6d.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/bbe3137ab19e51.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/ab99fa23313e31.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/89f995f925407d.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7fe67ccd3fed80.webp",https://www.lamudi.com.ph/buy/metro-manila/pasig/1-bedroom-w-balcony-for-sale-le-pont-tower-2-bridg-172043266329/
3,"Operational Resort for Sale | OR01 | San Narciso, Zambales",60000000,"Alusiis, San Narciso",NA,NA,NA,"Take over this income-generating resort in a 1 hectare land with huge potential for expansion!  Ideal for investors and business owners in the accommodation industry interested in expanding their portfolio into Zambales. The existing business comes with a large land at its backside, complemented with free-flowing river that’s perfect for an eco-tourism development.  The property is strategically-located along the National Highway, making it accessible for the tourists and visitors coming into the province. Property is less than 500 meters away from the town proper of San Narciso, Zambales; an hour away drive from Subic, Zambales; and 3 hours away from Metro Manila.  The property features the following amenities and improvements:  1. An existing three storey structure which is the main accommodation of the resort. It includes a 3 kiddie pools, 2 standard pool, 16 nipa cottages, 6 umbrella cottages, spiral slides, a large pavilion, and a function hall.  The property likewise include 10 comfort rooms and 8 dressing rooms.  2. The 2-storey hotel comes with individual private carports, fully airconditioned function halls, 2 executive rooms, 5 family rooms, 12 standard rooms, 17 restrooms, everything backed with a set of 10 KBA generator set.  3. Property likewise includes a 2-storey commercial building which was used as an existing hardware and storage area and currently being operated as a restaurant and events venue.  4. Machineries included in the sale are 4 big heavy duty water pumps with filters, 2 big blowers, 2 small blowers, 6 extra water motor pumps, and a large water tank.  Lot area: 10,000.00 Price: Php 60,000,000.00  Our brokerage knows the property market better than anyone! We'll assist and guide you thru the viewing, answer all your queries, and lay down all the necessary paper works for you! From viewing to aftersales, we're here!  Property has undergone thru our due diligence process and is secured by a clean title. Direct buyers are preferred. We offer transfer of title assistance.  For more photos, information, viewing, and closing, contact us today!  Juan Miguel P. Tanghal PRC REB 0028947  #TanghalRealEstate #realestate #justlisted #operationalresort #propertyinvestment #resortforsale #businessforsale #incomegeneratingproperty #zambales #zambalespropertyforsale #Zambalesproperties","Air conditioning, Alarm System, CCTV, Driver's quarter, Fire alarm, Fire exits, Function room, Lobby, Meeting room, Reception area, Wi-fi, 24-hour security","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/486d60bb56a468.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1d63171e69295a.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8d8ce3fcda203a.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/d52b3b3c206df4.webp, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7ca52ba77636df.webp",https://www.lamudi.com.ph/buy/zambales/san-narciso-1/operational-resort-for-sale-or01-san-narciso-zamba-166062954263/
4,"1 Bedroom Loft-Type Condo For Sale in Bellagio 3, Taguig City",15000000,"Fort Bonifacio, Taguig",1,2,58,"UNIT DESCRIPTION:
✅ 1 Bedroom
✅ 2 Toilet and Bath
✅ Loft Type Unit
✅ 58 sqm
✅ Fully furnished

PHP 15,000,000

Features and Ammenities:

24-hour Security
Gym
Swimming Pool
Kiddie Pool
Function Rooms
Playground
Garden


Property Code: BEL_12

As the newest addition to the Bellagio Towers, Bellagio III brags its modernity and an updated design. Developed by Megaworld Corporation, the tower is one of the high-end residences in the Taguig area. The tower’s facilities include a horizon edge swimming pool, a children’s pool, a view deck, landscaped gardens, a game room, a music room, a spa, a gym, and changing rooms among others. Views of Bonifacio Global City and Manila Golf Course can also be seen from the units and the view deck. The building is conveniently located in the busy center of Burgos Circle in Bonifacio Global City which makes it easier to access commercial, retail, and business areas. Live in comfort and in style at Bellagio 3 Tower.","Gymnasium, Air conditioning, Alarm System, Elevators, Fire exits, Function Room, Lobby, Shower rooms, Fire Alarm, Function area, Open space, 24-hour security, Garden, Jogging path, Parking lot, Parks, Secure parking, Shower rooms, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/8f61828fc3eb49.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/a056a53109b8cc.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/07b0a9b139d7da.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7ea5c9f842481f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/e87ab967b4842b.jpg",https://www.lamudi.com.ph/projects/the-bellagio/1-bedroom-loft-type-condo-for-sale-in-bellagio-3-t-171567275243/
5,For Sale 2 Bedroom Rent to Own Condo in Florence McKinley Hill near Enderun,16920000,"Florence Way, 1634 Taguig City, Philippines
                                        McKinley Hill, Taguig",2,3,79,"THE FLORENCE RESIDENCES
READY FOR OCCUPANCY | RENT TO OWN CONDO 
-Megaworld's first and only gated garden community condo here in McKinley Hill, Fort Bonifacio

RENT-TO-OWN PROMO TERM
-Only 4% down payment to move-in
-Monthly amortization of P45,000 for 4 years with 0% interest
-2.5% lumpsum on the 10th, 20th, and 30th month
-The turnover balance is payable through bank financing or cash-term

2 BEDROOM WITH BALCONY
-Semi and fully-furnished (can offer interior services)
-Floor-to-ceiling glass windows
-Corner unit
-79.60 sqm

FACTS:
-Lifetime ownership
-From developer to your name
-Less hassle in the process
-No credit investigations and ITR requirements
-Low-density condo
-Affordable prices with flexible payment terms
-Perfect for end-use and rental or Airbnb investment 
-Pet friendly

NEARBY: Venice Grand Canal Mall, Enderun, Chinese International School, Korean International School, Airport - NAIA Terminal 3, Metro Manila Subway Station, Forbes Park, Manila Polo Club, and Dasmariñas Village - Billionaire’s Row, BGC, McKinley Hill, and Makati

THIS YEAR COULD SEE A PRICE INCREASE AND HIGH EQUITY IN THE PAYMENT SCHEME!

Cash price: Php16,920,000
Reserve your BEST unit now for only Php35,000

For inquiries and actual viewing, kindly contact","Gymnasium, CCTV, Utility room, Indoor Pool, Air conditioning, Alarm System, Balcony, Bar, Basement Parking, Billiards table, Broadband internet available, Built-in wardrobes, Business Center, Central air conditioning, Clinic, Club House, Drying Area, Elevators, Ensuite, Entertainment room, Fire exits, Fitness center, Floorboards, Function Room, Game Room, Gym, Health Club, Intercom, Laundry Area, Lobby, Lounge, Maid's room, Maids Room, Meeting rooms, Multi-Purpose Hall, Pay TV access, Powder room, Reception Area, Shower rooms, Smoke detector, Social hall, Split-system heating, Study room, Wi-Fi, Daycare Center, Fire Alarm, Fire sprinkler system, Library, Function area, Open space, 24-hour security, Drying area, Study area, Balcony, Fully fenced, Garden, Jogging path, Landscaped Garden, Multi-purpose lawn, Open car spaces, Parking lot, Playground, Pool bar, Secure parking, Shower rooms, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/a60cee704245b8.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4c577921a9bb26.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/bde5e3834b9221.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/db281d5d9cf171.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/d8d030823aaa63.jpg",https://www.lamudi.com.ph/buy/metro-manila/taguig/for-sale-2-bedroom-rent-to-own-condo-in-florence-m-172736514376/
6,"1 Bedroom Loft Condo for Sale in One Rockwell, Makati City",35000000,"Rockwell, Makati",1,1,115,"UNIT DESCRIPTION:
✅ 1 Bedroom Loft
✅ 1 Toilet & Bath
✅ East Tower
✅ 115 sqm
✅ Semi-furnished
✅ 1 parking slot

Php 35,000,000

Features and Amenities:

24-hour Security
Gym
Swimming Pool
Game Room
Function Rooms
Theatre Room


Property Code: OR_18

Standing 165 meters high, this awe-inspiring, sharp-edged architecture offers spectacular 180-degree views from both sides of the building as well as ten different sceneries. It is also the very first in the country to introduce the Z-shaped unit, an innovation by local architect Pimentel Rodriguez, Simbulan & Partners. The Z-Loft unit has a living area of about 70 square meters and is equipped with Wi-Fi Internet and cable TV. For added convenience and pride, this stunning 45-storey tower offers young and upwardly mobile residents state-of-the-art amenities, which include two swimming pools that are located on the ground and 41st floors, a kiddie pool, a two-storey private gym club, children's playground, a sky deck on the 41st level, and function rooms on the third floor. Added condominium features include six high-speed elevators, an elegant hotel lobby with concierge, 24/7 security, and an underground private access to Power Plant Mall. Located along East Block, One Rockwell Drive, Rockwell Center, Makati City, One Rockwell East Tower is a stroll away from The Rockwell Club and Ateneo Professional Schools for Business and Law.","CCTV, Air conditioning, Alarm System, Built-in wardrobes, Elevators, Fire exits, Lobby, Shower rooms, Fire Alarm, 24-hour security, Garden, Jogging path, Parking lot, Secure parking, Shower rooms, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/bcfea5dc9cc2c1.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1175cc9c08edb2.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/248f99b47e61fb.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/25564f8daccab7.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8c2de7672d90a2.jpg",https://www.lamudi.com.ph/projects/one-rockwell/1-bedroom-loft-condo-for-sale-in-one-rockwell-maka-17164415131/
7,"For Sale: House with Inclusive Subaru Impreza CAR, Greenwoods Executive Village",37500000,"San Miguel, Pasig",NA,7,450,"Code: DS88-001984 Category: For Sale Project: Greenwoods Executive Village City : Pinagbuhatan, Pasig Size : LA : 170 sqm FA : 450 sqm Unit : 7 Bedrooms 7BR + 7 T&B Parking: 2 slot Price Per Sqm: Php 83,333.33 Selling Price: Php 37,500,000.00 Gross  Details of the Property: • Clean Title • Fully-Furnished • Brand New House • Facing vacant lot • Inclusive of a Subaru Impreza  If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us: Yvette De Asis Top Realty Corporation","Fully fenced, Garage, 24-hour security","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/40216892a34426.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/995b729df62625.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8ee61765c9180e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/52259ca7c08470.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/d6e6db2c4fd55c.jpg",https://www.lamudi.com.ph/new-developments/pasig-city-properties-by-top-realty/for-sale-house-with-inclusive-subaru-impreza-car-g-171282698616/
8,"Fully Furnished Brand New House and Lot for Sale in Bf Resort, Las Piñas City",19900000,"Las Piñas, National Capital Region, Philippines
                                        Talon Uno, Las Piñas",NA,4,272,"Luxurious Brand New House and Lot with Modern Interior Design and High Ceiling Living Area  BF Resort, Las Piñas City  Lot Area: 142.5 sq.m Floor Area: 272 sq.m  House Details: • Master’s Bedroom with Walk-in Closet and Toilet & Bath Balcony • 2 Common Bedrooms with their own Toilet and Bath • Living Area with High Ceiling • Dining Area • Kitchen Area • Service Area  Appliances Included: • Cooktop • Rangehood • Oven • Microwave Oven • Split-type Aircon in Master’s Bedroom (2hp) • Window Type AC (3 Bedrooms @1hp) • Refrigerator (Side by side) • TV (Master’s Bedrooms 55”) • TV (Living Area 50”) • TV (Dining Area 43”) • CCTV 5 Cameras • Sala Set • Dining Set  Nearby Places: - SM South Mall - SM Center Las Piñas - City Hall of Las Piñas - Meralco Branch Las Piñas - Robinson Mall Las Piñas - Perpetual Health Las Piñas - South Ville International School Las Piñas - Elizabeth Seton School - San Beda College Alabang - Alabang Town Center - Festival Mall Alabang - Daang Hari - Cavitex  Payment Terms: Spot Cash and Bank Financing. We also assist with the processing of bank financing.  Let Me Be Your Instrument in Finding Your Dream Home! Feel free to reach out. I’m here to guide you and find the perfect home that meets your needs and lifestyle. I’ll be with you through every step of the process with personalized support.  Vienne De Dios Sales Person Under Real Estate Licensed Broker No. 0026202 Contact Me:  Reach out today, and let's start the journey to finding your dream home!","Alarm System, Basement, Driver's room, Terrace, Maids room, Library, Air conditioning, Broadband internet available, Built-in wardrobes, CCTV, Central Air Conditioning, Ducted vacuum system, Entertainment room, Fire Alarm, Gym, Maid's room, Pay TV access, Powder room, Badminton court, Carport, Courtyard, Fully fenced, Garage, Jogging path, Lanai, Open car spaces, Parks, Secure parking, Shower Rooms, Sports facilities, Swimming pool, Tennis court, Function area, 24-hour security, Balcony, Basketball court, Clubhouse, Garden","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/c7535676d0ab0d.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/57b52693bd1c6a.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/44b9660eeeccf3.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/46e552226b3bb5.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/d34fbe5c6b38e2.jpg",https://www.lamudi.com.ph/new-developments/bf-resort-village/fully-furnished-brand-new-house-and-lot-for-sale-i-172620669867/
9,"Spacious 4 Bedroom House and Lot for Sale Near SLEX in BF Resort, Las Piñas City",29000000,"Talon Dos, Las Piñas, National Capital Region, Philippines
                                        Talon Dos, Las Piñas",NA,4,287,"Brand New Stunning House and Lot in Las Piñas City BF Resort, Las Piñas City Lot Area: 287 sqm Total Floor Area: 268 sqm Ground Floor Area 110 sqm Second Floor Area 158 sqm House Details: - Wide 2-Car Garage - 4 Bedrooms - 3.5 Bathrooms with Quartz Counters - Master WIC - Family Area - Balcony - Maid's Room & Bathroom - Utility Area for Service Kitchen & Laundry Nearby Places: - SM South Mall - SM Center Las Piñas - City Hall of Las Piñas - Meralco Branch Las Piñas - Robinson Mall Las Piñas - Perpetual Health Las Piñas - South Ville International School Las Piñas - Elizabeth Seton School - San Beda College Alabang - Alabang Town Center - Festival Mall Alabang - Daang Hari - Cavitex Payment Terms: Spot Cash and Bank Financing. We also assist with the processing of bank financing. Let Me Be Your Instrument in Finding Your Dream Home! Feel free to reach out. I’m here to guide you and find the perfect home that meets your needs and lifestyle. I’ll be with you through every step of the process with personalized support. Vienne De Dios Sales Person Under Real Estate Licensed Broker No. 0026202  Reach out today, and let's start the journey to finding your dream home!","Alarm System, Balcony, Driver's room, Terrace, Maids room, Library, Air conditioning, Broadband internet available, Built-in wardrobes, CCTV, Central Air Conditioning, Ducted vacuum system, Entertainment room, Fire Alarm, Maid's room, Pay TV access, Powder room, Split-system heating, Storage Room, Badminton court, Carport, Courtyard, Fully fenced, Garage, Jogging path, Lanai, Open car spaces, Parks, Secure parking, Shower Rooms, Sports facilities, Swimming pool, Tennis court, 24-hour security, Balcony, Basketball court, Clubhouse, Garden, Multi-purpose lawn, Parking lot, Playground, Open space","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/f0bcebfe797c58.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/9cd875ec5eadc7.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/911f07bb770826.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b6526e86d4757b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1ad003b4086fa3.jpg",https://www.lamudi.com.ph/new-developments/bf-resort-village/spacious-4-bedroom-house-and-lot-for-sale-near-sle-172637159220/
10,"1BR Regular 70sqm Condo Unit (16I) for Sale in Ortigas CBD, Pasig | Residences at The Galleon",24864000,"ADB Ave. 
                                        Ortigas CBD, Pasig",1,1,70,"Note: TCP is inclusive of parking  The Galleon is a two-tower, mixed-use development of modern design having Offices and Residential spaces for sale, which is a unique offering within the heart of the Ortigas Central Business District. Residences at The Galleon is a collection of 43 floors of generous, luxury residential units comprised of 1- and 2-bedroom layouts crowned with 5 bi-level, penthouse suites on the top floor. Inside the residential tower, there are a multitude of amenities for every residents' enjoyment, from a relaxing swim at the lap pool to an intimate screening at the mini theater.  Moreover, the Offices and Residences sit on top of a retail podium with stores and cafes. Experience comfort, leisure, and entertainment right at your doorsteps. Welcome aboard Residences at The Galleon. We are a growing and thriving community that promotes completeness, innovation, sustainability, and quality. Not just built for visual impact, it is truly a home worthy of the most memorable individuals, couples, and families.    HLURB LTS No. 018 Turnover Date: 2028 Launched in 2020","CCTV, Elevators, Fire exits, Game Room, Lobby, Reception Area, Theater, Daycare Center, Fire Alarm, Fire sprinkler system, 24-hour security, Garden, Secure parking, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/5d98cac7272058.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/dd1418ab91d25b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/8a5162ea254d3e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1521c1464be89e.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b5232187b5dfb1.jpg",https://www.lamudi.com.ph/new-developments/residences-at-the-galleon/1br-regular-70sqm-condo-unit-16i-for-sale-in-ortig-172768131628/
